class_name,train_count,test_count,total_images,epsilon_bound_percent,keep_class
Orange_foliage damaged,500,300,2100,6.07,True
Orange_Haunglongbing_Citrus_Greening,500,300,5507,6.07,True
Grape_Leaf_Blight_Isariopsis_Leaf_Spot,500,300,1076,6.07,True
Grape_Esca_Black_Measles),500,300,1383,6.07,True
Peach_Bacterial_Spot,500,300,2297,6.07,True
Orange_Healthy,500,300,909,6.07,True
PepperBell_Healthy,500,300,1478,6.07,True
PepperBell_Bacterial_spot,500,300,997,6.07,True
Potato_Early_Blight,500,300,1000,6.07,True
Potato_Late_Blight,500,300,1000,6.07,True
Apple_Apple_Scab,500,130,630,6.07,True
Wheat_Septoria,500,300,1144,6.07,True
Soybean_Healthy,500,300,5090,6.07,True
Soybean_Diseased,500,300,1056,6.07,True
Tomato_Bacterial_Spot,500,300,2127,6.07,True
Strawberry_Leaf_Scorch,500,300,1109,6.07,True
Tomato_Healthy,500,300,1591,6.07,True
Tomato_Late_Blight,500,300,1909,6.07,True
Tomato_Leaf_Mold,500,300,952,6.07,True
Tomato_Early_Blight,500,300,1000,6.07,True
Tomato_Septoria_Leaf_Spot,500,300,1771,6.07,True
Tomato_Spider_Mites_Two_Spotted_Spider_Mite,500,300,1676,6.07,True
Tomato_Target_Spot,500,300,1404,6.07,True
Tomato_Tomato_Yellow_Leaf_Curl_Virus,500,300,5357,6.07,True
